"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","701","1. Gallery created via API should exist in MongoDB","data-validation-tests","2025-12-22","passed","2025-12-22","Data Validation - API vs DB (Refactored)","","",""
"","986","Should detect sensitive info in Error Responses (Mocked 500)","ai-tests","2025-12-22","passed","2025-12-22","AI-Assisted Security Scans","","",""
"","1028","1. Should load dashboard and show create button","ui-tests","2025-12-22","passed","2025-12-22","Dashboard Page - Authenticated UI","","",""
"","127","2. READ - Should retrieve the created gallery (public GET)","api-tests","2025-12-22","passed","2025-12-22","Gallery API - Full CRUD Flow (Refactored)","","",""
"","3385","Production Security Scan - Real Traffic Analysis","ai-tests","2025-12-22","passed","2025-12-22","AI-Assisted Security Scans","","",""
"","955","2. Should display empty state if galleries API returns empty list","ui-tests","2025-12-22","passed","2025-12-22","UI Resilience - API Error Handling","","",""
"","2009","Should verify image content efficiently (One-Shot)","ai-tests","2025-12-22","passed","2025-12-22","AI Vision Capabilities","","",""
"","979","1. Should display empty state if galleries API returns 500","ui-tests","2025-12-22","passed","2025-12-22","UI Resilience - API Error Handling","","",""
"","3483","Full Sync Flow","e2e-tests","2025-12-22","passed","2025-12-22","Hybrid E2E - Enterprise Architecture","","",""
"","1230","2. Should match the Dashboard Sidebar design","visual-tests","2025-12-22","passed","2025-12-22","Visual Regression - Static Components","","",""
"","4596","Should handle malicious usernames","ai-tests","2025-12-22","passed","2025-12-22","AI-Driven Fuzz Testing","","",""
"","720","1. Should generate creative title via Gemini and validate relevance (Mocked)","ai-tests","2025-12-22","passed","2025-12-22","AI-Assisted Content Validation","","",""
"","116","Should not expose PII in public API responses","ai-tests","2025-12-22","passed","2025-12-22","AI-Assisted Security Scans","","",""
"","260","3. DELETE - Should delete the created gallery","api-tests","2025-12-22","passed","2025-12-22","Gallery API - Full CRUD Flow (Refactored)","","",""
"","557","1. CREATE - Should create a new gallery @api @sanity","api-tests","2025-12-22","passed","2025-12-22","Gallery API - Full CRUD Flow (Refactored)","","",""
"","1184","1. Should match the Login Form design","visual-tests","2025-12-22","passed","2025-12-22","Visual Regression - Static Components","","",""
"","997","2. Should be able to log out","ui-tests","2025-12-22","passed","2025-12-22","Dashboard Page - Authenticated UI","","",""
